,layer_num,layer_name,layer_type,min,max
207,637,diffusion_model.output_blocks.7.1.transformer_blocks.0.attn1.to_v,Linear,-7.4839196,7.2106466
208,639,diffusion_model.output_blocks.7.1.transformer_blocks.0.attn1.to_out.0,Linear,-8.643034,18.665287
209,644,diffusion_model.output_blocks.7.1.transformer_blocks.0.ff.net.0.proj,Linear,-7.452351,6.9320273
210,646,diffusion_model.output_blocks.7.1.transformer_blocks.0.ff.net.2,Linear,-26.075558,9.771597
211,648,diffusion_model.output_blocks.7.1.transformer_blocks.0.attn2.to_q,Linear,-5.903314,5.024959
212,649,diffusion_model.output_blocks.7.1.transformer_blocks.0.attn2.to_k,Linear,-14.955632,14.318415
213,650,diffusion_model.output_blocks.7.1.transformer_blocks.0.attn2.to_v,Linear,-12.386367,10.922293
214,652,diffusion_model.output_blocks.7.1.transformer_blocks.0.attn2.to_out.0,Linear,-1.9213943,3.256041
215,657,diffusion_model.output_blocks.7.1.proj_out,Linear,-163.2044,162.39339
216,663,diffusion_model.output_blocks.8.0.in_layers.2,Conv2d,-45.65454,9.435613
217,667,diffusion_model.output_blocks.8.0.emb_layers.1,Linear,-2.4396975,1.1810921
218,672,diffusion_model.output_blocks.8.0.out_layers.3,Conv2d,-17.977959,21.0776
219,673,diffusion_model.output_blocks.8.0.skip_connection,Conv2d,-119.77291,103.90357
220,676,diffusion_model.output_blocks.8.1.proj_in,Linear,-134.07082,210.78941
221,680,diffusion_model.output_blocks.8.1.transformer_blocks.0.attn1.to_q,Linear,-7.737627,7.6877255
222,681,diffusion_model.output_blocks.8.1.transformer_blocks.0.attn1.to_k,Linear,-9.493132,9.486548
223,682,diffusion_model.output_blocks.8.1.transformer_blocks.0.attn1.to_v,Linear,-7.0703773,6.9047036
224,684,diffusion_model.output_blocks.8.1.transformer_blocks.0.attn1.to_out.0,Linear,-10.071859,7.785951
225,689,diffusion_model.output_blocks.8.1.transformer_blocks.0.ff.net.0.proj,Linear,-9.794639,5.9462323
226,691,diffusion_model.output_blocks.8.1.transformer_blocks.0.ff.net.2,Linear,-23.953533,18.36306
227,693,diffusion_model.output_blocks.8.1.transformer_blocks.0.attn2.to_q,Linear,-4.9508038,4.4260073
228,694,diffusion_model.output_blocks.8.1.transformer_blocks.0.attn2.to_k,Linear,-15.778933,24.210592
229,695,diffusion_model.output_blocks.8.1.transformer_blocks.0.attn2.to_v,Linear,-8.636498,12.521
230,697,diffusion_model.output_blocks.8.1.transformer_blocks.0.attn2.to_out.0,Linear,-4.8781424,7.4443264
231,702,diffusion_model.output_blocks.8.1.proj_out,Linear,-108.22833,129.96349
232,704,diffusion_model.output_blocks.8.2.conv,Conv2d,-478.37308,73.85212
233,710,diffusion_model.output_blocks.9.0.in_layers.2,Conv2d,-9.389951,92.35227
234,714,diffusion_model.output_blocks.9.0.emb_layers.1,Linear,-3.27544,3.1271458
235,719,diffusion_model.output_blocks.9.0.out_layers.3,Conv2d,-7.871705,12.866861
236,720,diffusion_model.output_blocks.9.0.skip_connection,Conv2d,-15.186749,14.989102
237,723,diffusion_model.output_blocks.9.1.proj_in,Linear,-6.0149083,7.670708
238,727,diffusion_model.output_blocks.9.1.transformer_blocks.0.attn1.to_q,Linear,-7.7536693,8.78632
239,728,diffusion_model.output_blocks.9.1.transformer_blocks.0.attn1.to_k,Linear,-7.6275415,7.500222
240,729,diffusion_model.output_blocks.9.1.transformer_blocks.0.attn1.to_v,Linear,-5.397589,7.1676917
241,731,diffusion_model.output_blocks.9.1.transformer_blocks.0.attn1.to_out.0,Linear,-5.1806793,4.7555246
242,736,diffusion_model.output_blocks.9.1.transformer_blocks.0.ff.net.0.proj,Linear,-6.682951,6.8405786
243,738,diffusion_model.output_blocks.9.1.transformer_blocks.0.ff.net.2,Linear,-6.5335007,6.0344954
244,740,diffusion_model.output_blocks.9.1.transformer_blocks.0.attn2.to_q,Linear,-2.2503154,2.1917949
245,741,diffusion_model.output_blocks.9.1.transformer_blocks.0.attn2.to_k,Linear,-18.923111,17.489143
246,742,diffusion_model.output_blocks.9.1.transformer_blocks.0.attn2.to_v,Linear,-6.5162687,9.996253
247,744,diffusion_model.output_blocks.9.1.transformer_blocks.0.attn2.to_out.0,Linear,-1.6363769,3.3233314
248,749,diffusion_model.output_blocks.9.1.proj_out,Linear,-13.648622,16.106812
249,755,diffusion_model.output_blocks.10.0.in_layers.2,Conv2d,-5.545932,4.4522104
